rumor_id,publish_date,rumor_type,article_title,article_content,search_expression,source,article_url
80076,2020-01-23,wish,抗流感药物奥司他韦、利巴韦林能预防新型冠状病毒,奥司他韦对于新型冠状病毒的增殖和释放都是无能为力的...,(奥司他韦|利巴韦林)+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=7e76b95972ff53d590c7cf4d8f48d57c
80080,2020-01-23,wish,喝高度白酒、蒸桑拿，可以抵抗新型冠状病毒,喝白酒不能抵抗新型冠状病毒...,桑拿+(预防|防病毒|防感染|抗病毒|防肺炎|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=e645f3ef33879460c954a47cbbc85d0e
80125,2020-01-25,dread,带呼吸阀的N95口罩对新型冠状病毒没有防护作用,目前还没有研究比较不同型号的N95口罩在预防病毒性呼吸道传染病方面...,呼吸阀+防护,医学博士、副主任医师、中华医学会科普分会青年委员,https://vp.fact.qq.com/article?id=518dac7222489318f57c0adda89a14f9
80129,2020-01-25,wish,抗艾滋药物洛匹那韦利托那韦片可有效治疗武汉肺炎,“洛匹那韦利托那韦片”是抗HIV病毒的药物...,洛匹那韦利托那韦+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),宾夕法尼亚大学医学院病理及实验医药系研究副教授,https://vp.fact.qq.com/article?id=e79dd74ff13728ddfcdb6dee85ef129e
80135,2020-01-25,dread,吃香蕉会得新型冠状病毒肺炎,新型肺炎病毒来源于动物，通过动物传播，香蕉不是它的宿主...,吃+香蕉+(传染|感染|传播),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=c02adce8a72ca30d602947c1e395234f
80146,2020-01-25,dread,N95口罩也是需要4个小时一换,一般来说，口罩在长期使用后，会对后续防护效果造成影响...,(四小时|4小时)+(n95|N95)+(换|一换),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=887427b1869b3db05a2d6ccdc33400a3
80191,2020-01-26,wish,吃辣椒能降低新型冠状病毒肺炎死亡风险,现在科学家们在紧锣密鼓地努力做研究...,辣椒+降低+死亡风险,美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=e1de77718d74f1632adad425f0e55aa8
80195,2020-01-26,wish,多吃草莓可以预防新型冠状病毒肺炎,草莓是一种挺好的水果，作为均衡饮食的一部分没有什么不好...,草莓+(多吃|吃)+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=2e6a8e6e60cf500c584d8bb7cd5d8984
80199,2020-01-26,wish,打开家里空调和取暖器，室温增高到30度能抗肺炎,目前没有正确的答案。从一般规律来看...,(摄氏度|度|℃)+(30|三十)+(高温|室温|温度),宾夕法尼亚大学医学院病理及实验医药系研究副教授,https://vp.fact.qq.com/article?id=a00298865cbbec0bc833006bd50e1384
80200,2020-01-26,wish,养猫养狗能抗新型冠状病毒肺炎,有人觉得养猫养狗可以抗新型冠状病毒...,养+(猫|狗)+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),宾夕法尼亚大学医学院病理及实验医药系研究副教授,https://vp.fact.qq.com/article?id=b68f54493f0bff4d32ce34c53d459118
80201,2020-01-26,wish,谣言:温度越高病毒“失活”越快 室温增高到30度能抗肺炎,,(温度|气温|热|高温)+失活+越快+病毒,科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=XkeL
80207,2020-01-26,wish,谣言:喝高度白酒、蒸桑拿，可以抵抗新型冠状病毒,,(饮|喝)+白酒+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=xjVo
80208,2020-01-26,dread,谣言:带呼吸阀的N95口罩对新型冠状病毒没有防护作用,,呼吸阀+防护,科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=kEaJ
80212,2020-01-26,wish,乳铁蛋白能预防新型冠状病毒,有一些初步研究显示乳铁蛋白对于婴儿可能有一定的健康益处...,乳铁蛋白+预防,美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=fe412f1f9a3a46ea88a303458e613f90
80213,2020-01-26,wish,【部分错误】网传「好消息！新病毒不耐高温。冠状病毒在56摄氏度、30分钟就死亡了...新病毒怕酒精，医用酒精消毒是有效的...人在家里时，可以把暖气和空调都开着」？,网传「好消息！新病毒不耐高温。冠状病毒在56摄氏度、30分钟就死亡了...新病毒怕酒精，医用酒精消毒是有效的...人在家里时，可以把暖气和空调都开着」，经查： 一、冠状病毒确实无法在高温环境存活。 二、酒精、乙醚、含氯消毒剂确实可以达到杀死病毒的效果，但这些是使用于环境消毒，对已经感染的病患没有效果。一般家庭和个人消毒，只需要使用医学用酒精（浓度75％）、稀释漂白水和干洗手。 三、开暖气空调无法消灭病毒。 因此，传言为「部分错误」讯息。 背景 通讯软体流传讯息指出：「好消息！新病毒不耐高温。冠状病毒在56摄氏度、30分钟就死亡了...新病毒怕酒精，医用酒精消毒是有效的。乙...,(高温|室温|温度)+(度|摄氏度|℃)+(56|五十六),台湾事实查核中心,https://tw.news.yahoo.com/%E9%83%A8%E5%88%86%E9%8C%AF%E8%AA%A4-%E7%B6%B2%E5%82%B3-%E5%A5%BD%E6%B6%88%E6%81%AF-%E6%96%B0%E7%97%85%E6%AF%92%E4%B8%8D%E8%80%90%E9%AB%98%E6%BA%AB-%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E5%9C%A856%E6%94%9D%E6%B0%8F%E5%BA%A6-132829394.html
80220,2020-01-26,dread,家养的宠物会传染新型冠状病毒,_前尚_证据。此次的新型冠状病毒，从进化起源和病毒的亲缘关系上看...,宠物+传染,腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=c9f716744c4ce93a63771ef903c1fb08
80282,2020-01-27,wish,谣言：新型冠状病毒疫苗已研制成功,新型冠状病毒疫苗已研制成功，我国科学家已经读取了新型冠状病毒的全部基因序列，并且制造出高效、高灵敏度的疾病诊断试剂。,疫苗+(研制成功|出来了)+(新冠|肺炎|新型冠状),头条辟谣,http://toutiao.com/group/6786634631140606477/
80299,2020-01-27,wish,谣言：养猫养狗能抗新型冠状病毒肺炎,"有人觉得养猫养狗可以抗新型冠状病毒，是因为国内呼吸科权威专家团队""钟南山团队""的专家说：城市儿童患哮喘等过敏性呼吸道疾病的发病率有上升趋势，建议家长可以考虑在家中养宠物，这样可以帮小朋友适应过敏源。",养猫养狗+(抗|预防),头条辟谣,http://toutiao.com/group/6786631267505930766/
80307,2020-01-27,wish,阿司匹林能有效延缓新冠肺炎病情,阿司匹林是一个经典老药，属于非甾体抗炎药（NSAIDs）...,阿司匹林+(延缓|阻挡|遏制|抑制),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=bc695209c3ce3ff32bcc98533f38d01f
80310,2020-01-27,wish,花菇中的多糖能增强人体免疫力，对抗新型冠状病毒,目前市场上所有号称增强免疫力的药物/保健品都缺乏临床依据...,(蘑菇|花菇)+(多糖|多糖类)+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=fe9c18c350d5e41552af5e6ce7d938a7
80316,2020-01-27,wish,喝红酒能抵抗新型冠状病毒，延缓病情发展,红葡萄酒中确实存在红酒多酚，据研究...,(饮|喝)+红酒+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=bb3e51a96ffbcf94f7ab87b9dcf9160a
80321,2020-01-27,dread,新型冠状病毒已经混合在空气里，一旦呼吸就会致病,目前已经证实，新型冠状病毒能够通过空气传播。但并不是说...,空气+(混合|混入)+病毒+呼吸,腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=a7fb6514f0184062b72a47c346bcedb9
80334,2020-01-27,wish,谣言：新型冠状病毒20℃以上会“热死”,室内温度保持25度左右，开窗五分钟通风换气，原理是同济最新研究发现这种病毒喜欢0度左右的湿冷环境，20度左右就死亡，所以病毒在20度以上的室温下基本不能存活。,(20|二十)+(度|摄氏度|℃)+病毒,头条辟谣,http://toutiao.com/group/6786563590959661582/
80361,2020-01-28,dread,谣言：集体开窗唱歌会被传染,鉴定结果：谣言网传截图权威解读：关于“集体开窗唱歌会被传染病毒”，武汉晚报记者向三甲医院求证：阳台和阳台之间是飞沫的安全距离，被沾染飞沫的几率不大。,开窗+唱歌+(传染|感染),头条辟谣,http://toutiao.com/group/6786910493274538508/
80367,2020-01-28,dread,喷嚏可打8米远，病毒可悬浮24小时,预防呼吸道感染的最重要措施就是：佩戴口罩，勤洗手，加强通风...,悬浮24小时,广东省梅州市人民医院呼吸科主治医师,https://vp.fact.qq.com/article?id=e62097fdce2f0b2f32fffc994292a3d9
80387,2020-01-28,wish,熏醋可以杀死冠状病毒,该消息已被辟谣。虽然酸碱度改变确实会影响一部分微生物的活性，但是，没有证据表明熏醋的浓度可以杀灭冠状病毒，而且熏醋还会对人的呼吸道和眼睛造成不必要的刺激。如果需要进行室内消毒，有很多合格的医用消毒剂可以选用。即使不消毒，做好室内通风也能有效减少感染风险。,熏醋+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),阿里健康,https://mdeer.taobao.com/guide/h5/science/article/167750
80391,2020-01-28,wish,病毒只通过呼吸道传播,该消息已被辟谣。冠状病毒除了通过飞沫或气溶胶传播外，还可通过接触传播。病毒附着在门把手、桌子等表面上，用手摸这些地方后再接触口、鼻或眼睛等部位时，就有导致感染的可能。因此，在世界卫生组织和中国疾控等权威推荐中，洗手比戴口罩还要更加优先。,只通过呼吸道+(传播|传染|感染),阿里健康,https://mdeer.taobao.com/guide/h5/science/article/167750
80401,2020-01-28,wish,95%的酒精比75%的酒精消毒效果更好,并不是浓度越高的酒精消毒效果越好。对于细菌...,95%酒精更好,腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=65b017b6e4bdf505116062c0c3bdebfb
80403,2020-01-28,wish,吃药能预防冠状病毒,该消息已被辟谣。提前用药预防病毒感染都不可靠，板蓝根、维生素C（不管是药片、胶囊还是泡腾片）、抗病毒药（如预防流感的奥司他韦）、抗生素（比如阿莫西林或头孢）、干扰素、丙种球蛋白等预防手段目前都没有充足证据支持，在既往的冠状病毒流行中也没有体现出明显预防效果。中国疾控、香港卫生署、世界卫生组织和美国CDC等权威机构均未推荐任何药物作为常规预防手段。,吃药+预防,阿里健康,https://mdeer.taobao.com/guide/h5/science/article/167967
80406,2020-01-28,dread,海鲜会传染新型冠状病毒,海鲜不会传染新型冠状病毒。尽管此次疾病的起源是武汉的一个海鲜市场...,(家畜|家禽|海鲜)+(传染|感染|传播|风险),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=8c30841fe2230ced37fa194293d41704
80425,2020-01-28,wish,谣言：广东省中医院研制出了预防肺炎的药方,网络流传所谓“广东省中医院预防武汉肺炎方”。”相关现状：目前，医院专家已经按照上级部门安排，正在讨论中医药防治「2019新型冠状病毒 」感染的方案。,中医院+预防,头条辟谣,http://toutiao.com/group/6786912501595374091/
80460,2020-01-28,wish,用高浓度白酒喷洒房间可以预防新型冠状病毒,在家中喷洒医用酒精可以杀灭家中存在的细菌与一些病毒（比如新型冠状病...,白酒+喷洒+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=f2ce5e7b2518367879db349d0cb86871
80461,2020-01-28,dread,专家辟谣：病毒通过纸币传播可能性低,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助： 网页链接,(人民币|现金|纸币|压岁钱)+(传染|感染|传播|风险),微博辟谣,https://www.weibo.com/1866405545/IrDciddzg
80465,2020-01-28,wish,谣言：吸烟可以阻挡病毒进入肺细胞,鉴定结果：谣言权威解读：烟草燃烧多数为不完全燃烧，会产生很多有毒有害气体，包括一氧化碳、二氧化硫等，香烟还含有尼古丁的成分，经过燃烧后，不但对身体没有任何好处，而且还有致癌的风险。,(香烟|吸烟|抽烟|烟草)+阻挡病毒,头条辟谣,http://toutiao.com/group/6786908319551324684/
80466,2020-01-28,wish,谣言：全身喷洒酒精可起到消毒效果,全身喷洒酒精可起到消毒效果鉴定结果：谣言权威解读中国工程院院士李兰娟在接受浙江新闻客户端记者采访时表示，不能这样做，病毒对于外界抵抗力不强，75%的酒精就可以消毒，但这是对于有可能被污染的一些物体的消毒，并不是在家里针对人也要这样消毒。,全身喷洒酒精,头条辟谣,http://toutiao.com/group/6786922882485191180/
80481,2020-01-29,dread,谣言:明后两天是疫情爆发期 能不出门就不出门,,(暴发|爆发)+出门,科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=Zwjw
80483,2020-01-29,wish,谣言：同济大学博导提醒，在家把暖气空调打开,同济应急小组组长博导建议，大家呆在家里不要出门，不要过早服用抗病毒，或使用调节免疫功能药物，最最关键的是把家里暖气空调都打开。,暖气+打开,头条辟谣,http://toutiao.com/group/6787301204281000462/
80485,2020-01-29,wish,白藜芦醇可以治疗预防新型冠状病毒,白藜芦醇是一种植物提取物，在细胞实验中展示了比较强的抗氧化能力...,白藜芦醇+(防治|杀灭|预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=14df1407153d2e462173a359c149e4cc
80486,2020-01-29,dread,普通人戴口罩必须一次一换,该消息已被辟谣。据央视新闻微博，中国疾控中心副主任冯子建表示，医务人员对口罩使用时间有严格规定，但公众戴口罩，不必用一次换一次，可根据清洁程度使用更长时间。,普通人+一次一换+口罩,阿里健康,https://mdeer.taobao.com/guide/h5/science/article/168684
80488,2020-01-29,wish,有争议：抗艾药物能治疗新型冠状病毒,李太生告诉《凤凰周刊》，国内外利用克力芝等抗艾滋药物治疗SARS、MERS等冠状病毒感染，早有先例，但尚无循证医学证据支持该药对冠状病毒有效，此次被写入国家治疗方案，仅是没有办法的办法。,抗艾+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),头条辟谣,http://toutiao.com/group/6786941498190463502/
80491,2020-01-29,dread,不要穿毛衣或带毛领、绒线的衣服外套，容易吸附病毒,不论什么质地的衣服，都会被新型冠状病毒沾染...,(毛衣|毛领|绒线)+病毒,腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=bc73c00c165b830aa780e8ada6658fb9
80511,2020-01-29,wish,呼吸与危重症专家：病毒在衣服上存活的时间很短,】呼吸与危重症专家：病毒在衣服上存活的时间很短，短的几分钟，长的几个小时。一般越光滑的地方，病毒越容易存活。病毒在毛织品上存活时间相对要短，在空气中、在飞沫中存活的时间更长。毛质衣物上，如果没有近距离接触，病毒存活可能性很小。 央视新闻的微博视频,(衣服|衣物)+存活+病毒,微博辟谣,https://www.weibo.com/1866405545/IrKAN9NjT
80519,2020-01-29,wish,咳嗽药水“沐舒坦”能治疗新冠肺炎,据媒体报道，中国科学家通过人工智能药靶筛选...,沐舒坦+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=8e01f3e6fd441b3d2408a94986c1cca3
80533,2020-01-29,wish,婴儿不会感染新型冠状病毒,该消息已被辟谣。据央视新闻报道，1月26日18时至21时，北京新增5例新型冠状病毒感染的肺炎病例，其中有一名9个月大女婴，为首个确诊的婴儿感染者。此后，安徽也有婴儿被感染的报道。,婴儿+(不会|不易)+(感染|传染),央视新闻,https://mdeer.taobao.com/guide/h5/science/article/167969
80548,2020-01-29,wish,谣言：提升免疫力可以防肺炎,通俗地讲，就是一个巡逻兵发现了敌军，他就放了个信号弹，看到信号弹的友军有10人，他们一边赶去支援，一边分别通知了自己的上级，上级立即召集了1000人赶往现场，同时又给更高级的指挥部打电话，指挥部派了十万援军前来歼敌…,(提升|提高)+(免疫力|抵抗力)+(防|预防),头条辟谣,http://toutiao.com/group/6786949393137271299/
80559,2020-01-29,wish,谣言：在人中涂风油精可以预防呼吸道疾病,鉴定结果：谣言权威解读：浙江医院中医科主任杨敏春主任中医师说，风油精涂在人中穴预防流感的消息，她也看到了，但这样的说法没有依据。,风油精+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),头条辟谣,http://toutiao.com/group/6786957863500644872/
80576,2020-01-30,dread,武汉第九医院：疫情期间，不能外出散步，小心被传染,长江网记者联系到武汉市第九医院院长刘明瑜，他说：“这是谣言...,散步+(传染|感染),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=64c173d95bb41b63732f0c1f62198f64
80579,2020-01-30,dread,谣言：预防新型冠状病毒传播，不能开窗通风,预防新型冠状病毒传播，最好在家里要关闭门窗，因为病毒可以通过空气传播。在空气中打喷嚏产生了很多飞沫，通过飞沫里面的病毒进入到人体内，呼吸进去以后，可以产生传染。,(关闭|关上|不能)+(门窗|窗户|窗)+(预防|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),头条辟谣,http://toutiao.com/group/6787652452737876483/
80637,2020-01-30,wish,谣言:新型冠状病毒肺炎不会传染儿童,,(小孩|婴儿|儿童)+不会+(感染|传染|传播),科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=preZ
80639,2020-01-30,dread,新型冠状病毒会通过血液传播,目前尚无证据支持新型冠状病毒会通过血液传播...,血液+(传染|传播),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=f1856084c1d044bf649a895cbe9ce7a0
80641,2020-01-30,wish,万金油可以预防病毒,万金油的挥发性成分是一些精油小分子，要想预防病毒...,万金油+预防,美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=10b24fc88d975365e57aa37acfae583f
80645,2020-01-30,wish,用棉布、保鲜膜、纱布自制口罩，可预防新冠病毒感染,如果把保鲜膜覆盖在食物上，在微波炉里加热...,自制+(保鲜膜|保鲜袋)+口罩,宾夕法尼亚大学医学院病理及实验医药系研究副教授,https://vp.fact.qq.com/article?id=7b89f7bc0981adeedea2ac84a56306b3
80646,2020-01-30,wish,花露水酒精含量70-75%，能有效预防新冠病毒,酒精对新型冠状病毒的消毒是有效的，但是需要达到75%的浓度才行...,花露水+预防,药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=ab53757847cd4eea61cac64d30b422d4
80648,2020-01-30,wish,口罩水蒸过晒干、喷酒精、紫外线灯照射后可以再用,医用口罩的防护作用主要在其中的过滤层...,(蒸|喷酒精|紫外线)+口罩,广东省梅州市人民医院呼吸科主治医师,https://vp.fact.qq.com/article?id=69b4c13eb8b5f78b0b843da4fe5d9ea5
80650,2020-01-30,wish,玉屏风颗粒对新型肺炎有效,疗效尚待验证。1月24日...,玉屏风+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=0acefc9a0799e80f222cbf8ff67d6f0d
80672,2020-01-31,wish,用过的口罩放到消毒柜里消毒，可以继续防护新型肺炎,根据国家标准，一星级消毒柜消毒210分钟可以灭活甲型流感病毒...,消毒柜+口罩,卓正医疗皮肤科医生,https://vp.fact.qq.com/article?id=965c67571d6fa3080a10c7e7c7d2eadd
80686,2020-01-31,dread,别吃鱼肉，特别是草鱼做的酸菜鱼水煮鱼，会感染病毒,这是条老谣言了，早在2016年就开始传播...,(吃|别吃)+鱼塘+(传染|感染|传播|粪口),腾讯新闻旗下专业事实查证平台,https://vp.fact.qq.com/article?id=60390b3f4a5e1f8b253a0c575124b392
80696,2020-01-31,wish,喝茶可以预防新型冠状病毒,喝茶的作用就是：补充水分，让你愉快地呆在家里...,(喝|多喝)+茶+(防控|预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),美国普渡大学农业与生物系食品工程专业博士,https://vp.fact.qq.com/article?id=91bea4d0ea59f6baf13d08cc96e65bd2
80705,2020-01-31,wish,谣言：用了7天的N95口罩用吹风机吹或酒精消毒可继续用,N95口罩用7天后不要丢，用大功率吹风机吹30分钟，或者有酒精的喷一下消毒后继续用。鉴定结果：谣言权威解读：N95口罩的使用，美国疾控中心发布了一个文件，指出在特殊情况下，可以在严格规范下“延长使用期限”以及“有限重复使用”。,吹风机+(7天|七天)+口罩,头条辟谣,http://toutiao.com/group/6787665808240673283/
80723,2020-01-31,wish,新型肺炎治愈后不会再感染,该消息已被辟谣。国家卫健委新闻发布会上，中日友好医院呼吸与危重症医学科詹庆元主任介绍，从一般的病毒感染规律来看，感染后都会产生抗体，但有的抗体持续时间可能不长。但痊愈的患者还是有可能再感染的风险，因此治愈患者也应该加强防护。,(治愈|痊愈|治好)+不会再+(传染|感染|传播|风险),央视新闻,https://mdeer.taobao.com/guide/h5/science/article/169552
80727,2020-01-31,wish,用浴霸灯照射半小时可以去除病毒,新型冠状病毒对热敏感，56°C 30 分钟即可有效灭活病毒[1]...,浴霸+(消毒|去除),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=355c88481eb1b4fc714eef8bf5dc1ca5
80729,2020-01-31,wish,吃阿奇霉素片可以预防新型冠状病毒,抗生素针对的是细菌感染，对病毒很可能效果不佳...,阿奇霉素+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),腾讯医典,https://vp.fact.qq.com/article?id=b207427961470944aa4dd88a1f2cf9f7
80730,2020-01-31,wish,特殊时期多喝陈皮水，陈皮能预防和治疗新型冠状病毒,传言中陈皮里面的柠檬烯的抗感染抗新型冠状病毒作用...,陈皮水+(预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=a19a219043990b53c143748c3ca31140
80731,2020-01-31,dread,吃糖会降低身体免疫力，导致易感染病毒,目前没有明确的临床研究证实吃糖与新型冠状病毒感染发病之间的关系...,(糖|吃糖|甜食)+降低免疫力+(新冠|新型冠状|肺炎),腾讯旗下专业医学科普平台,https://vp.fact.qq.com/article?id=6cb943c1541220df421126f3b25376e7
